    BEGIN:|U|  BEGIN:Ph(U)  BEGIN:TBeg  HX:HeatIn   HX:HeatIn     RPN:dT     RPN:COP   
      m^3/s        deg          K           W           W           _           _      
         0f          0g          0c          1e         13e          9A         16A    
     4.0000E-3        4.20000    341.050     -279.00       190.670       70.4030       2.25810
     4.0000E-3        4.35000    341.050     -278.91       190.580       70.4080       2.25700
     4.0000E-3        4.50000    341.050     -278.82       190.490       70.4120       2.25590
     4.0000E-3        4.65000    341.050     -278.73       190.390       70.4170       2.25480
     4.0000E-3        4.80000    341.050     -278.63       190.300       70.4210       2.25370
     4.0000E-3        4.95000    341.050     -278.54       190.200       70.4250       2.25260
     4.0000E-3        5.10000    341.040     -278.44       190.110       70.4290       2.25140
     4.0000E-3        5.25000    341.040     -278.34       190.010       70.4330       2.25030
     4.0000E-3        5.40000    341.040     -278.23       189.910       70.4360       2.24920
     4.0000E-3        5.55000    341.040     -278.13       189.810       70.4400       2.24800
     4.0000E-3        5.70000    341.030     -278.02       189.700       70.4430       2.24690
     4.0000E-3        5.85000    341.030     -277.92       189.600       70.4470       2.24580
     4.0000E-3        6.00000    341.030     -277.81       189.490       70.4500       2.24460
     4.0000E-3        6.15000    341.030     -277.69       189.390       70.4530       2.24350
     4.0000E-3        6.30000    341.020     -277.58       189.280       70.4560       2.24230
     4.0000E-3        6.45000    341.020     -277.46       189.170       70.4590       2.24110
     4.0000E-3        6.60000    341.020     -277.35       189.050       70.4610       2.24000
     4.0000E-3        6.75000    341.010     -277.23       188.940       70.4640       2.23880
     4.0000E-3        6.90000    341.010     -277.10       188.830       70.4660       2.23760
     4.0000E-3        7.05000    341.010     -276.98       188.710       70.4690       2.23640
     4.0000E-3        7.20000    341.000     -276.86       188.590       70.4710       2.23520
     4.0000E-3        7.35000    341.000     -276.73       188.470       70.4730       2.23400
     4.0000E-3        7.50000    341.000     -276.60       188.350       70.4750       2.23280
     4.0000E-3        7.65000    340.990     -276.47       188.230       70.4770       2.23160
     4.0000E-3        7.80000    340.990     -276.33       188.110       70.4780       2.23040
     4.0000E-3        7.95000    340.990     -276.20       187.980       70.4800       2.22920
     4.0000E-3        8.10000    340.980     -276.06       187.850       70.4810       2.22800
     4.0000E-3        8.25000    340.980     -275.92       187.730       70.4820       2.22680
     4.0000E-3        8.40000    340.970     -275.78       187.600       70.4840       2.22550
     4.0000E-3        8.55000    340.970     -275.64       187.470       70.4850       2.22430
     4.0000E-3        8.70000    340.970     -275.49       187.330       70.4850       2.22300
     4.0000E-3        8.85000    340.960     -275.35       187.200       70.4860       2.22180
     4.0000E-3        9.00000    340.960     -275.20       187.070       70.4870       2.22050
     4.0000E-3        9.15000    340.950     -275.05       186.930       70.4870       2.21930
     4.0000E-3        9.30000    340.950     -274.90       186.790       70.4870       2.21800
     4.0000E-3        9.45000    340.940     -274.74       186.650       70.4880       2.21680
     4.0000E-3        9.60000    340.940     -274.59       186.510       70.4880       2.21550
     4.0000E-3        9.75000    340.930     -274.43       186.370       70.4880       2.21420
     4.0000E-3        9.90000    340.930     -274.27       186.220       70.4870       2.21290
     4.0000E-3       10.0500     340.920     -274.10       186.080       70.4870       2.21160
     4.0000E-3       10.2000     340.920     -273.94       185.930       70.4870       2.21030
     4.0000E-3       10.3500     340.910     -273.77       185.780       70.4860       2.20900
     4.0000E-3       10.5000     340.910     -273.61       185.630       70.4850       2.20770
     4.0000E-3       10.6500     340.900     -273.44       185.480       70.4850       2.20640
     4.0000E-3       10.8000     340.890     -273.27       185.330       70.4840       2.20510
     4.0000E-3       10.9500     340.890     -273.09       185.170       70.4820       2.20380
     4.0000E-3       11.1000     340.880     -272.92       185.020       70.4810       2.20240
     4.0000E-3       11.2500     340.880     -272.74       184.860       70.4800       2.20110
     4.0000E-3       11.4000     340.870     -272.56       184.700       70.4780       2.19980
     4.0000E-3       11.5500     340.870     -272.38       184.540       70.4770       2.19840
     4.0000E-3       11.7000     340.860     -272.20       184.380       70.4750       2.19710
     4.0000E-3       11.8500     340.850     -272.01       184.220       70.4730       2.19570
     4.0000E-3       12.0000     340.850     -271.82       184.060       70.4710       2.19430
     4.0000E-3       12.1500     340.840     -271.64       183.890       70.4690       2.19300
     4.0000E-3       12.3000     340.830     -271.44       183.720       70.4660       2.19160
     4.0000E-3       12.4500     340.830     -271.25       183.550       70.4640       2.19020
     4.0000E-3       12.6000     340.820     -271.06       183.390       70.4610       2.18880
     4.0000E-3       12.7500     340.810     -270.86       183.210       70.4580       2.18750
     4.0000E-3       12.9000     340.810     -270.66       183.040       70.4550       2.18610
     4.0000E-3       13.0500     340.800     -270.46       182.870       70.4520       2.18470
     4.0000E-3       13.2000     340.790     -270.26       182.690       70.4490       2.18330
     4.0000E-3       13.3500     340.780     -270.06       182.510       70.4460       2.18180
     4.0000E-3       13.5000     340.780     -269.85       182.340       70.4430       2.18040
     4.0000E-3       13.6500     340.770     -269.64       182.160       70.4390       2.17900
     4.0000E-3       13.8000     340.760     -269.43       181.970       70.4350       2.17760
     4.0000E-3       13.9500     340.750     -269.22       181.790       70.4310       2.17610
     4.0000E-3       14.1000     340.750     -269.01       181.610       70.4270       2.17470
     4.0000E-3       14.2500     340.740     -268.79       181.420       70.4230       2.17320
     4.0000E-3       14.4000     340.730     -268.58       181.240       70.4190       2.17180
     4.0000E-3       14.5500     340.720     -268.36       181.050       70.4150       2.17030
     4.0000E-3       14.7000     340.720     -268.14       180.860       70.4100       2.16890
     4.0000E-3       14.8500     340.710     -267.91       180.670       70.4050       2.16740
     4.0000E-3       15.0000     340.700     -267.69       180.470       70.4010       2.16590
     4.0600E-3       15.0000     340.690     -271.58       183.280       70.4970       2.17160
     4.0600E-3       14.8500     340.700     -271.80       183.480       70.5020       2.17310
     4.0600E-3       14.7000     340.710     -272.03       183.670       70.5070       2.17450
     4.0600E-3       14.5500     340.720     -272.25       183.870       70.5110       2.17600
     4.0600E-3       14.4000     340.720     -272.48       184.060       70.5150       2.17740
     4.0600E-3       14.2500     340.730     -272.70       184.250       70.5190       2.17890
     4.0600E-3       14.1000     340.740     -272.91       184.430       70.5230       2.18030
     4.0600E-3       13.9500     340.750     -273.13       184.620       70.5270       2.18180
     4.0600E-3       13.8000     340.750     -273.35       184.810       70.5310       2.18320
     4.0600E-3       13.6500     340.760     -273.56       184.990       70.5340       2.18460
     4.0600E-3       13.5000     340.770     -273.77       185.170       70.5380       2.18600
