% Model:              V2_FullGeometrie_TaRIX.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 3 2025, 11:24
% Dimension:          1
% Nodes:              668
% Expressions:        1
% Description:        Graphique sur ligne
% Longueur d'arc (mm)     T-293
44.54883276982365         -12.329566413091245
44.73235629324268         -12.328324304425468
44.89814254945173         -12.327202243658174
45.23365443959796         -12.324931459954474
45.407710569465316        -12.323753427715262
45.83226443729786         -12.32087999749496
45.83323479736934         -12.320873429984534
45.83722829580907         -12.32085037525521
46.41670692927987         -12.31750500696604
46.52185493747686         -12.316897980594447
46.880794958515935        -12.314825796229503
46.99251087589567         -12.314180852885922
47.051722445960365        -12.31383902059495
47.25395893828369         -12.312671496014636
47.82682069932893         -12.309364327365405
47.928355119662555        -12.308778162474361
48.15221446648967         -12.307485807731908
48.598131483789246        -12.304911499443174
48.74985569092411         -12.304035585609713
48.975915280809154        -12.302730528719279
49.05787464213369         -12.302257371932226
49.169876773270495        -12.30174448734122
49.360495060540885        -12.300871600537077
49.7802555584444          -12.298569793499398
49.78046988373317         -12.29856861822097
49.78054873414582         -12.298568142132387
49.85069673180225         -12.29814459760366
50.02001511496063         -12.297122275125533
50.039066687187265        -12.297007244198781
50.06802158697158         -12.29683241826229
50.22164990165363         -12.295904830386453
50.25665500275287         -12.295677685980019
50.33489288276537         -12.295170008634203
50.5210626208538          -12.294204854441812
50.9048779717042          -12.292215052023971
51.021878193737344        -12.291608491280192
51.178726220868505        -12.290795348754946
51.25635317050113         -12.290392909686979
51.42827504209629         -12.28950162028174
51.67704476960077         -12.28821193084077
51.8088606303079          -12.287528561825528
52.10238273610777         -12.286006863971298
52.32134550714651         -12.284871701841215
52.44921156749732         -12.28420880965756
52.55811326177421         -12.283759414097826
52.7218232011933          -12.283083845913621
53.19515755178436         -12.281130576436617
53.44895956016627         -12.280083232808256
53.85898274124402         -12.27839122426619
54.020991719409714        -12.27772267529726
54.20170671501824         -12.276976933762729
54.448707552835224        -12.275957655958997
54.832244607790166        -12.2743749455096
54.99239679961365         -12.273714058786352
55.15506437120679         -12.273042792054714
55.44845554550416         -12.271832079109696
55.55812436116369         -12.271379517933992
55.80723318869901         -12.270351541264505
55.84277326703836         -12.270208826973136
56.24205425500948         -12.268905788192981
56.267096888760456        -12.268803640517884
56.31185176752059         -12.26868973008547
56.5602560358912          -12.267934397519033
56.8738472350752          -12.267293853084375
57.45003667562684         -12.266116922926846
57.5250415966749          -12.265963717145326
58.30159609250513         -12.264377519376358
58.374073566515136        -12.264229476182749
58.69080578096208         -12.263582515879753
58.72131068331545         -12.263520206269396
59.54135689333381         -12.261845171901859
59.64741403272568         -12.261625908755283
59.66247272786476         -12.261594776321404
59.90864152407546         -12.261085845520943
59.92819959275403         -12.26104541105605
59.943542032347985        -12.261013692007236
60.03674045908132         -12.260821013037969
60.052482095679295        -12.260788468686947
61.158236338163626        -12.258502425937403
61.22451835024541         -12.258410316814283
61.283883381774146        -12.258292683320668
61.50111626920942         -12.257862230193314
61.73040954767629         -12.257407879059107
62.11720102084358         -12.256641440785334
62.152189097708565        -12.256572110918738
62.224652418211704        -12.256428522794048
62.23355294312454         -12.256410886151508
62.26245896499387         -12.256353608049377
62.29152285045622         -12.256296017136059
62.312298436855166        -12.256254849722398
62.3224053028             -12.256234822680886
62.383135198715316        -12.256146240648578
62.40102380074235         -12.256120147919475
63.415270616999784        -12.254640744029633
63.78568363511806         -12.254100451024945
64.16720377855252         -12.2535439569101
64.34713237948677         -12.253281508886754
64.64690493344676         -12.252844253698692
64.88895641146746         -12.252711090703622
65.34293865316006         -12.25272910807305
65.3838590006921          -12.252730732094767
65.4339007706324          -12.252732718121912
65.51799840223062         -12.252736055737259
65.98653272186752         -12.252838526788583
66.02912900522925         -12.252847842831734
66.31384009910177         -12.252910110725226
66.6709741931636          -12.252988217930076
67.18427544214174         -12.253100479756851
