% Model:              H_FullGeometrie_TaRIX.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 3 2025, 13:40
% Dimension:          1
% Nodes:              638
% Expressions:        1
% Description:        Graphique sur ligne
% Longueur d'arc inversée (mm) T-293
82.83472736005245         -12.39851569704109
83.13072888830928         -12.40427309403897
83.25149051483166         -12.406621975918377
83.4034321503999          -12.410918407246722
83.7294893782151          -12.420138279621922
83.79145311882814         -12.421518654434733
84.05014412553015         -12.427281549741231
84.47220692091452         -12.436683900961622
84.65493888332091         -12.440754646141071
84.91663052600904         -12.446584387030112
85.03189020792982         -12.449152042892749
85.03712992099291         -12.449297728111015
85.5451472685572          -12.46342266534917
85.57449810401242         -12.464238737301592
86.2190618689817          -12.48216021728615
86.35622236498372         -12.48597383390155
86.42069692076784         -12.487643688302157
86.45450565134794         -12.488519315235163
86.65107373612284         -12.493610317063544
86.77604754006666         -12.496847067653581
87.4374536163765          -12.513977109631915
87.83310674712129         -12.524098241871371
88.0493954095956          -12.529631083607455
88.16696854693058         -12.532638701084245
88.40249436359933         -12.538663645034081
89.23392675012998         -12.55993236876792
89.26752951788907         -12.560791955182566
89.31727090246012         -12.562064380678276
89.36753511082216         -12.563350180436224
89.46543770183924         -12.56585460917259
89.62936490729003         -12.570048001806416
89.71418232627002         -12.572244971136596
90.19896139552513         -12.584801881732014
90.33697584925551         -12.588376778558791
90.34617978810175         -12.588615182080204
90.4264849848354          -12.590695274311248
90.55661616817652         -12.596315439946805
90.70043473963659         -12.602526742820737
91.19322069734378         -12.623809410311212
91.60996827308352         -12.641728446758592
91.80506850077441         -12.647984567424874
92.086685463118           -12.657073776037656
92.36495301276564         -12.666054882104104
92.72593572277756         -12.67770562618431
93.19789556914895         -12.69293816567635
93.29322907417853         -12.696015061711984
93.52431933619259         -12.703473517276423
94.02140149066528         -12.71951688114947
94.23267848163692         -12.726335861902777
94.49977268523907         -12.734956347386332
94.63718525687688         -12.739391348457437
94.76369020264619         -12.74347430508433
94.90218421892706         -12.74794420986252
95.24207085757534         -12.758914076654847
95.37858241344426         -12.76324123332028
95.63298647146183         -12.771305358063103
96.33284944452922         -12.798278835668393
96.35237113160966         -12.799031222649194
96.35809929741994         -12.799251992368623
96.37782976762882         -12.80001242607751
96.38089126130316         -12.800130419362254
96.38859869229675         -12.800427472107291
96.42056891320881         -12.801659639075677
96.45189741432011         -12.802867073467342
96.47075569643833         -12.80359980913727
97.08221732513118         -12.827358057281323
97.61644080476486         -12.848115228946575
97.8309767754791          -12.85946431385263
97.83927186193901         -12.859903129032308
97.9665657749917          -12.865013577123918
98.818950945799           -12.89923414639554
99.10138690295582         -12.910693732213918
99.11107240277671         -12.911086712688178
99.11315167400966         -12.911171077254837
99.14245355238108         -12.912359974706902
99.18219717684867         -12.913972536648034
99.21475982871911         -12.914948615032378
99.3114429983093          -12.917846731326538
100.26875854400838        -12.956275838281929
100.49932065431103        -12.965531194090667
100.54161557714065        -12.96722902101972
101.32607962707843        -12.99871942458953
101.33363234138587        -12.999022609957436
101.34047069062011        -12.999297118874898
101.80492015267639        -13.01794131423236
102.20854781740366        -13.034143966291726
102.39850613876335        -13.041769381632996
102.85748844963639        -13.062992006698504
102.868766137002          -13.063513469345095
102.87155650447122        -13.06364249157796
103.1793493499729         -13.077874351942075
103.64456752617787        -13.099385313679365
103.80479278713103        -13.106793879453443
103.81659788087663        -13.107339728547169
103.83763194960969        -13.108312311027472
103.8696010983908         -13.1097905145272
103.96019256118242        -13.113979322251202
104.2817397494599         -13.128847161939206
104.32307630308193        -13.130755521740872
104.43132978078248        -13.135753194917093
104.55884080521213        -13.141639919667195
104.78049876170306        -13.151873069187943
104.81326731095743        -13.153385875086753
104.8444550576351         -13.15482570102407
104.86536855772492        -13.156115724595427
105.08361916671133        -13.169578245399991
105.80147724183533        -13.203280446253219
106.02821497299507        -13.213925392408115
106.04342184034913        -13.214639328652163
106.10831055428851        -13.217685742067399
106.19032312269229        -13.220853376292547
106.33368818648438        -13.226390674923685
106.64913022643645        -13.24214916318083
106.91659171178098        -13.255510694436085
107.02222462351989        -13.260485006181957
107.43888198245526        -13.280105629720946
107.55208416553106        -13.28543638260528
107.70016517786536        -13.292409598687932
107.87361469686564        -13.300577431662298
108.13255803796025        -13.31277121560632
108.24100152704968        -13.31787787898103
108.38650273621329        -13.32472961071754
108.72500477021141        -13.340669857142636
109.02461293351303        -13.349024023744645
109.17088324841744        -13.353102572760713
109.24803408020169        -13.357159592219476
109.64565193235781        -13.378068548429617
109.72296001433764        -13.382133836977511
109.77840986273227        -13.38504969813831
109.81417265415955        -13.386930304443709
109.93612027845357        -13.393342988186323
109.93992115430835        -13.393542859360055
110.50217992101568        -13.422434639226479
110.69694494071513        -13.432442678954859
110.92655952509512        -13.444241470576866
111.3807316552533         -13.466604389037988
111.74859259976245        -13.484717443012094
111.88807321259489        -13.491585309542334
112.07678756190563        -13.500877389187576
112.39932571080493        -13.516758800321114
112.49678368778925        -13.523888058663394
112.59418951935056        -13.53101350245705
112.79198454180019        -13.539386264634846
112.92133260101537        -13.54486163264236
113.06498351506563        -13.550942447645028
113.35105232657703        -13.563051883441759
113.41465568713477        -13.565744245489412
113.56274367956709        -13.572012884238092
113.92647974360477        -13.587410013660044
113.99376871158184        -13.59025838931219
114.10817129424191        -13.59510110782591
114.39782649118213        -13.607362357110702
114.41633565289433        -13.608145859178691
114.53129783978362        -13.613012266019187
115.06097494540937        -13.635433762685295
115.08157561438918        -13.636520670899731
115.15069460602928        -13.640167445665192
115.48611622436468        -13.655870791343641
115.56469050081955        -13.659549382576756
115.6290486167516         -13.662562419562
116.28788626891304        -13.693407048626828
116.56408987175926        -13.706338000050462
116.59165054395812        -13.707994715233452
116.67511746255693        -13.713012042471426
116.91761022450278        -13.727588662286164
117.08924714249267        -13.734295841780131
117.51444874084277        -13.750911750960146
117.79070179269956        -13.761707090484197
117.86787786183817        -13.764722955336671
118.0071251408869         -13.770164421575782
118.40972820466789        -13.78589723154014
118.6806738254992         -13.796485168758451
118.81814549917355        -13.80185724838718
119.2676434259664         -13.819422602697177
119.30500766849299        -13.82088271212012
119.32736700292732        -13.821756463939794
119.36251775041485        -13.823130075022465
119.83857168794474        -13.841677836146285
120.29047450548713        -13.859284634137408
120.34033729935356        -13.861227361876203
120.36962657401686        -13.862406050949375
120.80202854861597        -13.879807215318792
121.00247281816004        -13.887873699484313
121.17165739270315        -13.894682198897673
121.64574673449374        -13.913760989113504
121.8275358000656         -13.921076731400552
121.9939746627336         -13.927774735056605
122.00297748605274        -13.928137035919153
122.5714160961837         -13.951012726294941
122.69566080072784        -13.956234685392761
122.80517002211748        -13.960060403333836
122.83505200533287        -13.961104334044432
122.8430782047574         -13.96138473029552
122.85326515473679        -13.961740612629503
122.92963967429958        -13.96440876574049
122.93375551228868        -13.964552553040207
122.97364253173038        -13.965946010905745
123.62252072230129        -13.988785580667738
123.68393672081746        -13.990075032874763
123.94835633456887        -13.998206001115953
