3.565e-3 9.0e0 2.1726e0 2.1726e0
3.565e-3 1.2e1 2.1453e0 2.1453e0
3.565e-3 1.5e1 2.1157e0 2.1157e0
3.565e-3 1.8e1 2.0836e0 2.0836e0
3.565e-3 2.1e1 2.0489e0 2.0489e0
3.565e-3 2.4e1 2.0113e0 2.0113e0
3.565e-3 2.7e1 1.9705e0 1.9705e0
3.565e-3 3.0e1 1.9262e0 1.9262e0
4.06e-3 -3.0e1 2.3558e0 2.3558e0
4.06e-3 -2.7e1 2.3638e0 2.3638e0
4.06e-3 -2.4e1 2.3676e0 2.3676e0
4.06e-3 -2.1e1 2.3678e0 2.3678e0
4.06e-3 -1.8e1 2.3647e0 2.3647e0
4.06e-3 -1.5e1 2.3586e0 2.3586e0
4.06e-3 -1.2e1 2.3499e0 2.3499e0
4.06e-3 -9.0e0 2.3386e0 2.3386e0
4.06e-3 -6.0e0 2.3251e0 2.3251e0
4.06e-3 -3.0e0 2.3094e0 2.3094e0
4.06e-3 -2.2204e-15 2.2916e0 2.2916e0
4.06e-3 3.0e0 2.2717e0 2.2717e0
4.06e-3 6.0e0 2.2498e0 2.2498e0
4.06e-3 9.0e0 2.2259e0 2.2259e0
4.06e-3 1.2e1 2.1999e0 2.1999e0
4.06e-3 1.5e1 2.1716e0 2.1716e0
4.06e-3 1.8e1 2.141e0 2.141e0
4.06e-3 2.1e1 2.1078e0 2.1078e0
4.06e-3 2.4e1 2.0718e0 2.0718e0
4.06e-3 2.7e1 2.0328e0 2.0328e0
4.06e-3 3.0e1 1.9903e0 1.9903e0
4.555e-3 -3.0e1 2.3801e0 2.3801e0
4.555e-3 -2.7e1 2.3886e0 2.3886e0
4.555e-3 -2.4e1 2.393e0 2.393e0
4.555e-3 -2.1e1 2.3938e0 2.3938e0
4.555e-3 -1.8e1 2.3913e0 2.3913e0
4.555e-3 -1.5e1 2.3859e0 2.3859e0
4.555e-3 -1.2e1 2.3779e0 2.3779e0
4.555e-3 -9.0e0 2.3674e0 2.3674e0
4.555e-3 -6.0e0 2.3547e0 2.3547e0
4.555e-3 -3.0e0 2.3399e0 2.3399e0
4.555e-3 -2.2204e-15 2.3231e0 2.3231e0
4.555e-3 3.0e0 2.3043e0 2.3043e0
4.555e-3 6.0e0 2.2836e0 2.2836e0
4.555e-3 9.0e0 2.2608e0 2.2608e0
4.555e-3 1.2e1 2.2361e0 2.2361e0
4.555e-3 1.5e1 2.2091e0 2.2091e0
4.555e-3 1.8e1 2.1799e0 2.1799e0
4.555e-3 2.1e1 2.1482e0 2.1482e0
4.555e-3 2.4e1 2.1138e0 2.1138e0
4.555e-3 2.7e1 2.0764e0 2.0764e0
