    BEGIN:|U|  BEGIN:Ph(U)  BEGIN:TBeg  HX:HeatIn   HX:HeatIn   RPN:ChngeM    RPN:dT     RPN:COP   
      m^3/s        deg          K           W           W           _           _           _      
         0f          0g          0c          2e         14e          1A         10A         17A    
     4.9850E-4       15.9000     340.880      -39.125        9.17230  4.9850E-4       63.2600       0.35262
     4.9850E-4       15.6000     340.870      -39.183        9.22930  4.9850E-4       63.2550       0.35479
     4.9850E-4       15.3000     340.870      -39.241        9.28570  4.9850E-4       63.2510       0.35693
     4.9850E-4       15.0000     340.860      -39.298        9.34130  4.9850E-4       63.2460       0.35906
     4.9850E-4       14.7000     340.850      -39.354        9.39630  4.9850E-4       63.2400       0.36115
     4.9850E-4       14.4000     340.850      -39.409        9.45060  4.9850E-4       63.2350       0.36322
     4.9850E-4       14.1000     340.840      -39.464        9.50420  4.9850E-4       63.2290       0.36527
     4.9850E-4       13.8000     340.830      -39.517        9.55710  4.9850E-4       63.2230       0.36729
     4.9850E-4       13.5000     340.820      -39.570        9.60930  4.9850E-4       63.2170       0.36929
     4.9850E-4       13.2000     340.810      -39.622        9.66080  4.9850E-4       63.2110       0.37127
     4.9850E-4       12.9000     340.810      -39.673        9.71160  4.9850E-4       63.2040       0.37322
     4.9850E-4       12.6000     340.800      -39.723        9.76170  4.9850E-4       63.1970       0.37514
     4.9850E-4       12.3000     340.790      -39.772        9.81110  4.9850E-4       63.1900       0.37704
     4.9850E-4       12.0000     340.780      -39.820        9.85980  4.9850E-4       63.1830       0.37892
     4.9850E-4       11.7000     340.770      -39.868        9.90780  4.9850E-4       63.1760       0.38077
     4.9850E-4       11.4000     340.760      -39.915        9.95510  4.9850E-4       63.1680       0.38260
     4.9850E-4       11.1000     340.750      -39.960       10.0020   4.9850E-4       63.1600       0.38440
     4.9850E-4       10.8000     340.740      -40.005       10.0480   4.9850E-4       63.1520       0.38617
     4.9850E-4       10.5000     340.730      -40.049       10.0930   4.9850E-4       63.1430       0.38793
     4.9850E-4       10.2000     340.720      -40.092       10.1370   4.9850E-4       63.1350       0.38965
     4.9850E-4        9.90000    340.710      -40.135       10.1810   4.9850E-4       63.1260       0.39136
     4.9850E-4        9.60000    340.700      -40.176       10.2240   4.9850E-4       63.1170       0.39304
     4.9850E-4        9.30000    340.690      -40.217       10.2660   4.9850E-4       63.1070       0.39469
     4.9850E-4        9.00000    340.680      -40.256       10.3080   4.9850E-4       63.0980       0.39632
     4.9850E-4        8.70000    340.670      -40.295       10.3490   4.9850E-4       63.0880       0.39792
