    BEGIN:|U|  BEGIN:Ph(U)  BEGIN:TBeg  HX:HeatIn   HX:HeatIn     RPN:dT     RPN:COP   
      m^3/s        deg          K           W           W           _           _      
         0f          0g          0c          1e         13e          9A         16A    
     1.0000E-4       21.0000     336.040      -14.131      -10.744      -57.610       -0.51263
     1.0000E-4       21.3000     336.040      -14.117      -10.757      -57.607       -0.51327
     1.0000E-4       21.6000     336.040      -14.103      -10.770      -57.605       -0.51392
     1.0000E-4       21.9000     336.030      -14.089      -10.783      -57.603       -0.51458
     1.0000E-4       22.2000     336.030      -14.075      -10.797      -57.600       -0.51524
     1.0000E-4       22.5000     336.030      -14.061      -10.810      -57.598       -0.51591
     1.0000E-4       22.8000     336.030      -14.046      -10.824      -57.595       -0.51658
     1.0000E-4       23.1000     336.030      -14.031      -10.838      -57.592       -0.51726
     1.0000E-4       23.4000     336.020      -14.017      -10.852      -57.589       -0.51795
     1.0000E-4       23.7000     336.020      -14.002      -10.866      -57.586       -0.51864
     1.0000E-4       24.0000     336.020      -13.987      -10.880      -57.583       -0.51934
     1.0000E-4       24.3000     336.020      -13.971      -10.895      -57.580       -0.52005
     1.0000E-4       24.6000     336.010      -13.956      -10.909      -57.577       -0.52076
     1.0000E-4       24.9000     336.010      -13.940      -10.924      -57.573       -0.52148
     1.0000E-4       25.2000     336.010      -13.925      -10.938      -57.570       -0.52221
     1.0000E-4       25.5000     336.000      -13.909      -10.953      -57.566       -0.52294
     1.0000E-4       25.8000     336.000      -13.893      -10.968      -57.562       -0.52367
     1.0000E-4       26.1000     336.000      -13.877      -10.983      -57.559       -0.52442
     1.0000E-4       26.4000     336.000      -13.861      -10.998      -57.555       -0.52517
     1.0000E-4       26.7000     335.990      -13.844      -11.013      -57.551       -0.52592
     1.0000E-4       27.0000     335.990      -13.828      -11.029      -57.547       -0.52668
     1.0000E-4       27.3000     335.980      -13.811      -11.044      -57.542       -0.52745
     1.0000E-4       27.6000     335.980      -13.795      -11.060      -57.538       -0.52823
     1.0000E-4       27.9000     335.980      -13.778      -11.076      -57.534       -0.5290 
     1.0000E-4       28.2000     335.970      -13.761      -11.091      -57.529       -0.52979
     1.0000E-4       28.5000     335.970      -13.744      -11.107      -57.525       -0.53058
     1.0000E-4       28.8000     335.970      -13.726      -11.123      -57.520       -0.53138
     1.0000E-4       29.1000     335.960      -13.709      -11.140      -57.515       -0.53218
     1.0000E-4       29.4000     335.960      -13.691      -11.156      -57.510       -0.53299
     1.0000E-4       29.7000     335.950      -13.674      -11.172      -57.505       -0.53381
     1.0000E-4       30.0000     335.950      -13.656      -11.189      -57.500       -0.53463
     1.4950E-4       30.0000     337.010      -16.232       -9.0821     -58.647       -0.42457
     1.4950E-4       29.7000     337.020      -16.259       -9.0572     -58.653       -0.42336
     1.4950E-4       29.4000     337.020      -16.286       -9.0324     -58.659       -0.42216
     1.4950E-4       29.1000     337.030      -16.313       -9.0079     -58.665       -0.42097
     1.4950E-4       28.8000     337.030      -16.339       -8.9835     -58.670       -0.41979
     1.4950E-4       28.5000     337.040      -16.366       -8.9592     -58.676       -0.41861
     1.4950E-4       28.2000     337.040      -16.392       -8.9352     -58.681       -0.41745
     1.4950E-4       27.9000     337.050      -16.418       -8.9113     -58.687       -0.41629
     1.4950E-4       27.6000     337.050      -16.444       -8.8875     -58.692       -0.41514
     1.4950E-4       27.3000     337.050      -16.469       -8.8640     -58.697       -0.4140 
     1.4950E-4       27.0000     337.060      -16.494       -8.8406     -58.702       -0.41287
     1.4950E-4       26.7000     337.060      -16.520       -8.8174     -58.706       -0.41175
     1.4950E-4       26.4000     337.070      -16.544       -8.7943     -58.711       -0.41064
     1.4950E-4       26.1000     337.070      -16.569       -8.7714     -58.715       -0.40954
     1.4950E-4       25.8000     337.070      -16.594       -8.7487     -58.720       -0.40844
     1.4950E-4       25.5000     337.080      -16.618       -8.7262     -58.724       -0.40736
     1.4950E-4       25.2000     337.080      -16.642       -8.7039     -58.728       -0.40628
     1.4950E-4       24.9000     337.080      -16.666       -8.6817     -58.732       -0.40521
     1.4950E-4       24.6000     337.080      -16.690       -8.6597     -58.735       -0.40416
     1.4950E-4       24.3000     337.090      -16.713       -8.6379     -58.739       -0.40311
     1.4950E-4       24.0000     337.090      -16.736       -8.6162     -58.742       -0.40207
     1.4950E-4       23.7000     337.090      -16.759       -8.5948     -58.746       -0.40104
     1.4950E-4       23.4000     337.090      -16.782       -8.5735     -58.749       -0.40001
     1.4950E-4       23.1000     337.100      -16.805       -8.5524     -58.752       -0.3990 
     1.4950E-4       22.8000     337.100      -16.827       -8.5315     -58.755       -0.3980 
     1.4950E-4       22.5000     337.100      -16.850       -8.5107     -58.758       -0.3970 
     1.4950E-4       22.2000     337.100      -16.872       -8.4902     -58.760       -0.39602
     1.4950E-4       21.9000     337.100      -16.893       -8.4698     -58.763       -0.39504
     1.4950E-4       21.6000     337.100      -16.915       -8.4496     -58.765       -0.39408
     1.4950E-4       21.3000     337.110      -16.936       -8.4296     -58.767       -0.39312
     1.4950E-4       21.0000     337.110      -16.957       -8.4098     -58.769       -0.39217
     1.4950E-4       20.7000     337.110      -16.978       -8.3901     -58.771       -0.39123
     1.4950E-4       20.4000     337.110      -16.999       -8.3707     -58.773       -0.3903 
     1.4950E-4       20.1000     337.110      -17.019       -8.3514     -58.774       -0.38938
     1.4950E-4       19.8000     337.110      -17.039       -8.3323     -58.776       -0.38847
     1.4950E-4       19.5000     337.110      -17.059       -8.3134     -58.777       -0.38757
     1.4950E-4       19.2000     337.110      -17.079       -8.2947     -58.778       -0.38668
     1.4950E-4       18.9000     337.110      -17.099       -8.2762     -58.779       -0.3858 
     1.4950E-4       18.6000     337.110      -17.118       -8.2578     -58.780       -0.38493
     1.4950E-4       18.3000     337.110      -17.137       -8.2397     -58.781       -0.38406
     1.4950E-4       18.0000     337.110      -17.156       -8.2217     -58.782       -0.38321
