    BEGIN:|U|  BEGIN:Ph(U)  BEGIN:TBeg  HX:HeatIn   HX:HeatIn     RPN:dT    RPN:ChngeM 
      m^3/s        deg          K           W           W           _           _      
         0f          0g          0c          1e         13e          9A         16A    
     1.0000E-4   -6.6613E-16     335.930      -14.717      -10.152      -57.528       -0.48451
     1.0000E-4        0.15000    335.930      -14.716      -10.154      -57.530       -0.48459
     1.0000E-4        0.30000    335.940      -14.714      -10.156      -57.532       -0.48467
     1.0000E-4        0.45000    335.940      -14.713      -10.158      -57.534       -0.48475
     1.0000E-4        0.60000    335.940      -14.711      -10.160      -57.536       -0.48483
     1.0000E-4        0.75000    335.940      -14.710      -10.162      -57.538       -0.48492
     1.0000E-4        0.90000    335.940      -14.708      -10.164      -57.540       -0.48501
     1.0000E-4        1.05000    335.950      -14.707      -10.166      -57.542       -0.4851 
     1.0000E-4        1.20000    335.950      -14.705      -10.168      -57.544       -0.48519
     1.0000E-4        1.35000    335.950      -14.703      -10.170      -57.546       -0.48528
     1.0000E-4        1.50000    335.950      -14.701      -10.172      -57.548       -0.48537
     1.0000E-4        1.65000    335.960      -14.700      -10.174      -57.550       -0.48547
     1.0000E-4        1.80000    335.960      -14.698      -10.177      -57.552       -0.48557
     1.0000E-4        1.95000    335.960      -14.696      -10.179      -57.554       -0.48567
     1.0000E-4        2.10000    335.960      -14.694      -10.181      -57.556       -0.48577
     1.0000E-4        2.25000    335.960      -14.692      -10.183      -57.558       -0.48587
     1.0000E-4        2.40000    335.970      -14.690      -10.186      -57.559       -0.48598
     1.0000E-4        2.55000    335.970      -14.688      -10.188      -57.561       -0.48608
     1.0000E-4        2.70000    335.970      -14.686      -10.191      -57.563       -0.48619
     1.0000E-4        2.85000    335.970      -14.684      -10.193      -57.565       -0.4863 
     1.0000E-4        3.00000    335.970      -14.681      -10.196      -57.566       -0.48642
     1.0000E-4        3.15000    335.970      -14.679      -10.198      -57.568       -0.48653
     1.0000E-4        3.30000    335.980      -14.677      -10.201      -57.570       -0.48665
     1.0000E-4        3.45000    335.980      -14.675      -10.203      -57.572       -0.48676
     1.0000E-4        3.60000    335.980      -14.672      -10.206      -57.573       -0.48688
     1.0000E-4        3.75000    335.980      -14.670      -10.209      -57.575       -0.4870 
     1.0000E-4        3.90000    335.980      -14.667      -10.211      -57.576       -0.48713
     1.0000E-4        4.05000    335.990      -14.665      -10.214      -57.578       -0.48725
     1.0000E-4        4.20000    335.990      -14.662      -10.217      -57.580       -0.48738
     1.0000E-4        4.35000    335.990      -14.660      -10.220      -57.581       -0.48751
     1.0000E-4        4.50000    335.990      -14.657      -10.223      -57.583       -0.48764
     1.0000E-4        4.65000    335.990      -14.655      -10.225      -57.584       -0.48777
     1.0000E-4        4.80000    335.990      -14.652      -10.228      -57.586       -0.4879 
     1.0000E-4        4.95000    335.990      -14.649      -10.231      -57.587       -0.48804
     1.0000E-4        5.10000    336.000      -14.647      -10.234      -57.589       -0.48818
     1.0000E-4        5.25000    336.000      -14.644      -10.237      -57.590       -0.48832
     1.0000E-4        5.40000    336.000      -14.641      -10.240      -57.591       -0.48846
     1.0000E-4        5.55000    336.000      -14.638      -10.244      -57.593       -0.4886 
     1.0000E-4        5.70000    336.000      -14.635      -10.247      -57.594       -0.48875
     1.0000E-4        5.85000    336.000      -14.632      -10.250      -57.595       -0.48889
     1.0000E-4        6.00000    336.010      -14.629      -10.253      -57.597       -0.48904
     1.0000E-4        6.15000    336.010      -14.626      -10.256      -57.598       -0.48919
     1.0000E-4        6.30000    336.010      -14.623      -10.260      -57.599       -0.48934
     1.0000E-4        6.45000    336.010      -14.620      -10.263      -57.600       -0.4895 
     1.0000E-4        6.60000    336.010      -14.617      -10.266      -57.602       -0.48965
     1.0000E-4        6.75000    336.010      -14.614      -10.270      -57.603       -0.48981
     1.0000E-4        6.90000    336.010      -14.610      -10.273      -57.604       -0.48997
     1.0000E-4        7.05000    336.010      -14.607      -10.276      -57.605       -0.49013
     1.0000E-4        7.20000    336.020      -14.604      -10.280      -57.606       -0.49029
     1.0000E-4        7.35000    336.020      -14.600      -10.283      -57.607       -0.49046
     1.0000E-4        7.50000    336.020      -14.597      -10.287      -57.608       -0.49062
     1.0000E-4        7.65000    336.020      -14.594      -10.291      -57.610       -0.49079
     1.0000E-4        7.80000    336.020      -14.590      -10.294      -57.611       -0.49096
     1.0000E-4        7.95000    336.020      -14.587      -10.298      -57.612       -0.49113
     1.0000E-4        8.10000    336.020      -14.583      -10.302      -57.613       -0.4913 
     1.0000E-4        8.25000    336.020      -14.579      -10.305      -57.614       -0.49148
     1.0000E-4        8.40000    336.030      -14.576      -10.309      -57.614       -0.49166
     1.0000E-4        8.55000    336.030      -14.572      -10.313      -57.615       -0.49183
     1.0000E-4        8.70000    336.030      -14.568      -10.317      -57.616       -0.49201
     1.0000E-4        8.85000    336.030      -14.565      -10.321      -57.617       -0.4922 
     1.0000E-4        9.00000    336.030      -14.561      -10.324      -57.618       -0.49238
     1.0000E-4        9.15000    336.030      -14.557      -10.328      -57.619       -0.49257
     1.0000E-4        9.30000    336.030      -14.553      -10.332      -57.620       -0.49275
     1.0000E-4        9.45000    336.030      -14.549      -10.336      -57.620       -0.49294
     1.0000E-4        9.60000    336.030      -14.545      -10.340      -57.621       -0.49313
     1.0000E-4        9.75000    336.030      -14.541      -10.344      -57.622       -0.49332
     1.0000E-4        9.90000    336.040      -14.537      -10.349      -57.623       -0.49352
     1.0000E-4       10.0500     336.040      -14.533      -10.353      -57.623       -0.49371
     1.0000E-4       10.2000     336.040      -14.529      -10.357      -57.624       -0.49391
     1.0000E-4       10.3500     336.040      -14.525      -10.361      -57.625       -0.49411
     1.0000E-4       10.5000     336.040      -14.521      -10.365      -57.625       -0.49431
     1.0000E-4       10.6500     336.040      -14.516      -10.370      -57.626       -0.49452
     1.0000E-4       10.8000     336.040      -14.512      -10.374      -57.626       -0.49472
     1.0000E-4       10.9500     336.040      -14.508      -10.378      -57.627       -0.49493
     1.0000E-4       11.1000     336.040      -14.503      -10.383      -57.627       -0.49514
     1.0000E-4       11.2500     336.040      -14.499      -10.387      -57.628       -0.49535
     1.0000E-4       11.4000     336.040      -14.495      -10.391      -57.628       -0.49556
     1.0000E-4       11.5500     336.040      -14.490      -10.396      -57.629       -0.49577
     1.0000E-4       11.7000     336.040      -14.486      -10.400      -57.629       -0.49599
     1.0000E-4       11.8500     336.050      -14.481      -10.405      -57.630       -0.4962 
     1.0000E-4       12.0000     336.050      -14.476      -10.409      -57.630       -0.49642
     1.0000E-4       12.1500     336.050      -14.472      -10.414      -57.630       -0.49664
     1.0000E-4       12.3000     336.050      -14.467      -10.419      -57.631       -0.49686
     1.0000E-4       12.4500     336.050      -14.462      -10.423      -57.631       -0.49709
